,Dates,DayNight,Home,HomeLeague,HomeScore,HomeStartingPitcher,HomeStartingPlayer_1,HomeStartingPlayer_2,HomeStartingPlayer_3,HomeStartingPlayer_4,HomeStartingPlayer_5,HomeStartingPlayer_6,HomeStartingPlayer_7,HomeStartingPlayer_8,HomeStartingPlayer_9,Visitor,VisitorLeague,VisitorScore,VisitorStartingPitcher,VisitorStartingPlayer_1,VisitorStartingPlayer_2,VisitorStartingPlayer_3,VisitorStartingPlayer_4,VisitorStartingPlayer_5,VisitorStartingPlayer_6,VisitorStartingPlayer_7,VisitorStartingPlayer_8,VisitorStartingPlayer_9
84,20170409,D,SDN,NL,3,richc002,margm001,jankt001,myerw001,solay001,schir001,renfh001,hedga001,aybae001,richc002,SFN,NL,5,cuetj001,spand001,beltb001,pench001,poseb001,crawb001,nunee002,marrc001,hilla001,cuetj001
85,20170409,D,SLN,NL,0,martc006,fowld001,diaza003,carpm002,adamm002,moliy001,peraj001,gyorj001,gricr001,martc006,CIN,NL,8,felds001,hamib001,peraj003,vottj001,duvaa001,suare001,sches001,cozaz001,turns002,felds001
86,20170409,D,ANA,AL,10,shoem001,escoy001,calhk001,troum001,pujoa001,simma001,cronc002,reveb001,espid001,perec003,SEA,AL,9,iwakh001,seguj002,hanim001,canor001,cruzn002,seagk001,valed001,martl004,ruizc001,mottt001
87,20170409,D,BAL,AL,3,milew001,gentc001,jonea003,machm001,trumm001,davic003,manct001,schoj001,hardj003,josec002,NYA,AL,7,sabac001,gardb001,hicka001,hollm001,cartc002,casts001,headc001,judga001,romia002,torrr001
88,20170409,D,CHA,AL,1,quinj001,cabrm002,andet001,abrej003,frazt001,aschc001,garca003,sancc001,narvo001,may-j001,MIN,AL,4,sante001,dozib001,grosr001,mauej001,sanom001,castj006,polaj001,rosae001,buxtb001,keplm001
89,20170409,D,DET,AL,5,norrd002,kinsi001,castn001,cabrm001,martv001,uptoj001,collt002,avila001,romia001,iglej001,BOS,AL,7,porcr001,pedrd001,benia002,bettm001,younc004,morem001,selss001,leons001,sandp001,hernm003
90,20170409,D,HOU,AL,5,mccul002,sprig001,brega001,altuj001,corrc001,mccab002,gatte001,reddj001,gonzm002,aokin001,KCA,AL,4,karnn001,gorda001,mousm001,cainl001,hosme001,peres002,mossb001,orlap001,escoa003,mondr003
91,20170409,D,TBA,AL,7,odorj001,dickc002,kierk001,longe001,millb002,souzs001,morrl001,robed004,smitm007,sucrj001,TOR,AL,2,estrm001,travd001,donaj001,bautj002,morak001,tulot001,martr004,smoaj001,pillk001,carre001
92,20170409,D,TEX,AL,8,perem004,gomec002,andre001,mazan001,napom001,odorr001,rua-r001,chirr001,gallj002,deshd002,OAK,AL,1,manas001,semim001,davir003,healr001,davik003,lowrj001,plout001,canhm001,phegj001,rosaa001
93,20170410,N,CHN,NL,3,lestj001,schwk001,bryak001,rizza001,zobrb001,russa002,contw001,heywj001,baezj001,lestj001,LAN,NL,2,wooda002,forsl001,seagc001,turnj001,gutif001,puigy001,gonza003,grany001,pedej001,wooda002
